Date,Time,Date Time,Direction,Intersection,Bike Traffic,
9/27/2016,11:00 AM,9/27/2016 11:00 AM,Southbound,601,5,
9/27/2016,12:00 PM,9/27/2016 12:00 PM,Southbound,601,10,
9/27/2016,01:00 PM,9/27/2016 01:00 PM,Southbound,601,3,
9/27/2016,02:00 PM,9/27/2016 02:00 PM,Southbound,601,10,
9/27/2016,03:00 PM,9/27/2016 03:00 PM,Southbound,601,13,
9/27/2016,04:00 PM,9/27/2016 04:00 PM,Southbound,601,15,
9/27/2016,05:00 PM,9/27/2016 05:00 PM,Southbound,601,22,
9/27/2016,06:00 PM,9/27/2016 06:00 PM,Southbound,601,19,
9/27/2016,07:00 PM,9/27/2016 07:00 PM,Southbound,601,16,
9/27/2016,08:00 PM,9/27/2016 08:00 PM,Southbound,601,16,
9/27/2016,09:00 PM,9/27/2016 09:00 PM,Southbound,601,7,
9/27/2016,10:00 PM,9/27/2016 10:00 PM,Southbound,601,9,
9/27/2016,11:00 PM,9/27/2016 11:00 PM,Southbound,601,6,
9/28/2016,12:00 AM,9/28/2016 12:00 AM,Southbound,601,8,
9/28/2016,01:00 AM,9/28/2016 01:00 AM,Southbound,601,1,
9/28/2016,02:00 AM,9/28/2016 02:00 AM,Southbound,601,2,
9/28/2016,03:00 AM,9/28/2016 03:00 AM,Southbound,601,0,
